Artist Name,Artist Location,Price
The Glitter Glaze,"Hadapsar, Pune","9,000"
Makeover by Rajashree,"Hadapsar, Pune","10,000"
Makeup By Aishwarya Ruptakke,"Hadapsar, Pune","8,000"
Mayuri Sonawane Make-up Artist,"Hadapsar, Pune","5,000"
Miracle Beauty Salon and Makeup Studio,"Hadapsar, Pune","10,000"
Pallavi Korhalkar Makeup Artist,"Hadapsar, Pune","15,000"
Rose makeup artistry,"Hadapsar, Pune","6,500"
Shivani Ghadage Makeup,"Hadapsar, Pune","7,000"
Hindavi Makeover,"Hadapsar, Pune","3,000"
Tejvi Makeover,"Hadapsar, Pune","5,000"
Manasvi Beauty Parlour,"Hadapsar, Pune","8,000"
Hemisha Makeup Artist,"Hadapsar, Pune","13,000"
Snehal Makeovers,"Hadapsar, Pune","7,000"
Rajeshri's Beauty Salon and Academy,"Hadapsar, Pune","7,000"
Lakme Salon Amanora Pune,"Hadapsar, Pune","3,000"
Mayuri Makeup Artistry,"Hadapsar, Pune","7,000"
Dazzliing Makeup Studio,"Hadapsar, Pune","8,000"
Monika Makeup Studio,"Hadapsar, Pune","4,000"
Arch Makeover,"Hadapsar, Pune","6,000"
Makeup by BK,"Hadapsar, Pune","5,000"
Sanjus Makeup Artist 85,"Hadapsar, Pune","3,500"
KK Makeover,"Hadapsar, Pune","5,000"
Rups Makeovers,"Hadapsar, Pune","5,500"
Makeovers by Divyanjali,"Hadapsar, Pune","15,000"
